"Provider.ID","Hospital.Name","Address","City","State","ZIP.Code","County.Name","Phone.Number","Hospital.Type","Hospital.Ownership","Emergency.Services","Meets.criteria.for.meaningful.use.of.EHRs","Hospital.overall.rating","Hospital.overall.rating.footnote","Mortality.national.comparison","Mortality.national.comparison.footnote","Safety.of.care.national.comparison","Safety.of.care.national.comparison.footnote","Readmission.national.comparison","Readmission.national.comparison.footnote","Patient.experience.national.comparison","Patient.experience.national.comparison.footnote","Effectiveness.of.care.national.comparison","Effectiveness.of.care.national.comparison.footnote","Timeliness.of.care.national.comparison","Timeliness.of.care.national.comparison.footnote","Efficient.use.of.medical.imaging.national.comparison","Efficient.use.of.medical.imaging.national.comparison.footnote","Location","lon","lat","geoAddress"
10005,"MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","BOAZ","AL",35957,"MARSHALL",2565938310,"Acute Care Hospitals","Government - Hospital District or Authority","true","true","3","","Below the national average","","Same as the national average","","Above the national average","","Same as the national average","","Same as the national average","","Above the national average","","Below the national average","","2505 U S HIGHWAY 431 NORTH
BOAZ, AL
",-86.160495,34.22159,"2505 us-431, boaz, al 35957, usa"
10012,"DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","FORT PAYNE","AL",35968,"DE KALB",2568453150,"Acute Care Hospitals","Proprietary","true","true","3","","Below the national average","","Same as the national average","","Same as the national average","","Same as the national average","","Same as the national average","","Above the national average","","Same as the national average","","200 MED CENTER DRIVE
FORT PAYNE, AL
",-85.7550138,34.4419753,"200 medical center dr sw, fort payne, al 35968, usa"
10032,"WEDOWEE HOSPITAL","209 NORTH MAIN STREET","WEDOWEE","AL",36278,"RANDOLPH",2563572111,"Acute Care Hospitals","Government - Hospital District or Authority","true","true","4","","Same as the national average","","Not Available","Results are not available for this reporting period","Same as the national average","","Not Available","Results are not available for this reporting period","Same as the national average","","Same as the national average","","Not Available","Results are not available for this reporting period","209 NORTH MAIN STREET
WEDOWEE, AL
",-85.487436,33.3166476,"209 n main st, wedowee, al 36278, usa"
10095,"HALE COUNTY HOSPITAL","508 GREEN STREET","GREENSBORO","AL",36744,"HALE",3346243024,"Acute Care Hospitals","Government - Local","true","true","Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Below the national average","","Same as the national average","","Not Available","Results are not available for this reporting period","508 GREEN STREET
GREENSBORO, AL
",-79.7907638,36.0781179,"508 n greene st, greensboro, nc 27401, usa"
10131,"CRESTWOOD MEDICAL CENTER","ONE HOSPITAL DR SE","HUNTSVILLE","AL",35801,"MADISON",2568823100,"Acute Care Hospitals","Proprietary","true","true","3","","Below the national average","","Above the national average","","Same as the national average","","Same as the national average","","Same as the national average","","Same as the national average","","Same as the national average","","ONE HOSPITAL DR SE
HUNTSVILLE, AL
",-86.572207,34.6935825,"1 hospital drive southwest, huntsville, al 35801, usa"
11304,"CHOCTAW GENERAL HOSPITAL","401 VANITY FAIR LANE, PO BOX 618","BUTLER","AL",36904,"CHOCTAW",2054599100,"Critical Access Hospitals","Voluntary non-profit - Private","true","true","Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Same as the national average","","Not Available","Results are not available for this reporting period","401 VANITY FAIR LANE, PO BOX 618
BUTLER, AL
",-88.2082907,32.0916736,"401 vanity fair ave, butler, al 36904, usa"
20018,"YUKON KUSKOKWIM DELTA REG HOSPITAL","PO BOX 287","BETHEL","AK",99559,"BETHEL",9075436300,"Acute Care Hospitals","Tribal","true","true","3","This hospitals star rating only includes data reported on inpatient services","Same as the national average","","Not Available","Results are not available for this reporting period","Same as the national average","","Below the national average","","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","PO BOX 287
BETHEL, AK
",-161.7558334,60.7922222,"bethel, ak, usa"
21308,"NORTON SOUND REGIONAL HOSPITAL","1000 GREG KRUSCHEK AVENUE (P O BOX 966)","NOME","AK",99762,"NOME",9074433311,"Critical Access Hospitals","Tribal","true","true","Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","1000 GREG KRUSCHEK AVENUE (P O BOX 966)
NOME, AK
",-165.3788209,64.4994615,"1000 greg kruschek avenue, nome, ak 99762, usa"
21309,"KANAKANAK HOSPITAL","P O BOX 130","DILLINGHAM","AK",99576,"DILLINGHAM",9078425201,"Critical Access Hospitals","Voluntary non-profit - Private","true","true","Not Available","There are too few measures or measure groups reported to calculate a star rating or measure group score","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","Not Available","Results are not available for this reporting period","P O BOX 130
DILLINGHAM, AK
",-158.4575,59.0397222,"dillingham, ak 99576, usa"
21310,"MANIILAQ HEALTH CENTER","PO BOX 43","KOTZEBUE","AK",99752,"NORTHWEST ARCTIC",9074423321,"Critical Access Hospitals","Tribal","true","true","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","Not Available","Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs","PO BOX 43
KOTZEBUE, AK
",-162.5966666,66.8983333,"kotzebue, ak 99752, usa"
